 epoch      loss_v   loss_lamB   loss_lamC   loss_lamE        runtime(s)
     0    1.564751    0.000016    0.002160        0.000018     16.2778
    10    6.106817    0.000003    0.000250        0.000002     17.3733
    20    2.396608    0.000003    0.000014        0.000002     18.3455
    30    1.519579    0.000009    0.000005        0.000001     19.3203
    40    1.293438    0.000007    0.000003        0.000000     20.3610
    50    1.161421    0.000002    0.000001        0.000000     21.5156
    60    1.072989    0.000001    0.000000        0.000000     22.5990
    70    0.995174    0.000003    0.000000        0.000000     23.7235
    80    0.921185    0.000001    0.000000        0.000000     24.7746
    90    0.832139    0.000017    0.000000        0.000001     25.9147
   100    0.768517    0.000004    0.000000        0.000001     26.9493
   110    0.588880    0.000118    0.000000        0.000003     28.0174
   120    0.649903    0.000398    0.000000        0.000004     28.9888
   130    0.491384    0.000007    0.000000        0.000004     30.1978
   140    0.380311    0.000648    0.000084        0.000009     31.3120
   150    0.385536    0.000174    0.000028        0.000006     32.3866
   160    0.456472    0.000012    0.000002        0.000004     33.3724
   170    0.308270    0.000058    0.000002        0.000006     34.3841
   180    0.260940    0.000040    0.000002        0.000008     35.4322
   190    0.244954    0.000004    0.000001        0.000007     36.6192
   200    0.158220    0.000009    0.000002        0.000043     37.6077
   210    0.177576    0.000002    0.000000        0.000006     38.6908
   220    0.153672    0.000000    0.000000        0.000001     39.6568
   230    0.147196    0.000005    0.000001        0.000016     40.7165
   240    0.107078    0.000003    0.000002        0.000036     41.8032
   250    0.141439    0.000001    0.000001        0.000001     42.8538
   260    0.122098    0.000001    0.000002        0.000003     43.9006
   270    0.110347    0.000001    0.000004        0.000022     45.1232
   280    0.121770    0.000001    0.000003        0.000005     46.1802
   290    0.067507    0.000001    0.000001        0.000009     47.3758
   300    0.372887    0.000000    0.000010        0.000003     48.3616
   310    0.165135    0.000000    0.000006        0.000006     49.3801
   320    0.097532    0.000001    0.000002        0.000000     50.3716
   330    0.062680    0.000000    0.000001        0.000006     51.3751
   340    0.051687    0.000001    0.000001        0.000001     52.4548
   350    0.127748    0.000001    0.000011        0.000004     53.4902
   360    0.153798    0.000000    0.000014        0.000002     54.5263
   370    0.053276    0.000000    0.000004        0.000001     55.5490
   380    0.033467    0.000001    0.000001        0.000008     56.5713
   390    0.044267    0.000000    0.000000        0.000002     57.6303
   400    0.034379    0.000000    0.000000        0.000002     58.6119
   410    0.037184    0.000000    0.000001        0.000008     59.6866
   420    0.710954    0.000000    0.000022        0.000003     60.7586
   430    0.133028    0.000002    0.000000        0.000004     61.8607
   440    0.063991    0.000000    0.000005        0.000002     62.8712
   450    0.035019    0.000000    0.000000        0.000001     63.9306
   460    0.032690    0.000000    0.000001        0.000001     64.9842
   470    0.028944    0.000000    0.000000        0.000000     66.0595
   480    0.021636    0.000000    0.000000        0.000000     67.2856
   490    0.036773    0.000000    0.000002        0.000003     68.4268
   500    0.357988    0.000000    0.000006        0.000000     69.5455
   510    0.140866    0.000000    0.000003        0.000000     70.6236
   520    0.043172    0.000000    0.000000        0.000002     71.7580
   530    0.026942    0.000000    0.000001        0.000000     72.8314
   540    0.012448    0.000000    0.000000        0.000002     73.8921
   550    0.018352    0.000000    0.000001        0.000021     74.8846
   560    0.027578    0.000000    0.000000        0.000000     75.8911
   570    0.016618    0.000001    0.000000        0.000002     76.9341
   580    0.015588    0.000001    0.000000        0.000002     78.0750
   590    0.016672    0.000000    0.000000        0.000000     79.1455
   600    0.014401    0.000000    0.000000        0.000000     80.2304
   610    0.021007    0.000000    0.000001        0.000001     81.2455
   620    0.681896    0.000000    0.000056        0.000000     82.3266
   630    0.038775    0.000000    0.000009        0.000000     83.3204
   640    0.041853    0.000000    0.000005        0.000004     84.3039
   650    0.036837    0.000000    0.000002        0.000007     85.2842
   660    0.025007    0.000000    0.000000        0.000001     86.3584
   670    0.011342    0.000000    0.000000        0.000002     87.3759
   680    0.115261    0.000000    0.000015        0.000002     88.4492
   690    0.252288    0.000000    0.000027        0.000000     89.4593
   700    0.119870    0.000000    0.000007        0.000000     90.4454
   710    0.033216    0.000000    0.000000        0.000001     91.4675
   720    0.015526    0.000000    0.000001        0.000001     92.5382
   730    0.017740    0.000000    0.000000        0.000000     93.5763
   740    0.011892    0.000000    0.000000        0.000000     94.5841
   750    0.005306    0.000000    0.000000        0.000002     95.7402
   760    0.018540    0.000000    0.000000        0.000004     96.8011
   770    0.012649    0.000000    0.000000        0.000000     97.8151
   780    0.008201    0.000000    0.000000        0.000000     98.9697
   790    0.000136    0.000000    0.000000        0.000004     99.9303
   800    0.016449    0.000000    0.000000        0.000003    101.0509
   810    0.011376    0.000000    0.000000        0.000000    102.1105
   820    0.004787    0.000000    0.000000        0.000001    103.1003
   830    0.361131    0.000000    0.000053        0.000008    104.1785
   840    0.079743    0.000000    0.000010        0.000001    105.2279
   850    0.129295    0.000000    0.000000        0.000000    106.2344
   860    0.041195    0.000000    0.000000        0.000000    107.2502
   870    0.011523    0.000000    0.000000        0.000003    108.2656
   880    0.015674    0.000000    0.000000        0.000004    109.3366
   890    0.012757    0.000000    0.000000        0.000000    110.3312
   900    0.008013    0.000000    0.000000        0.000000    111.3168
   910    0.010874    0.000000    0.000000        0.000001    112.2850
   920    0.008640    0.000000    0.000000        0.000000    113.2992
   930    0.008064    0.000000    0.000000        0.000000    114.2912
   940    0.009245    0.000000    0.000000        0.000000    115.3236
   950    0.007735    0.000000    0.000000        0.000000    116.3646
   960    0.008887    0.000000    0.000000        0.000000    117.3513
   970    0.007255    0.000000    0.000000        0.000000    118.4039
   980    0.007081    0.000000    0.000000        0.000000    119.4579
   990    0.007564    0.000000    0.000000        0.000000    120.4445
  1000    0.448569    0.000000    0.000064        0.000000    121.5194
  1010    0.058280    0.000000    0.000021        0.000000    122.5706
  1020    0.006837    0.000000    0.000005        0.000000    123.5912
  1030    0.010653    0.000000    0.000001        0.000000    124.6221
  1040    0.012145    0.000000    0.000000        0.000000    125.6325
  1050    0.009868    0.000000    0.000000        0.000000    126.7107
  1060    0.007810    0.000000    0.000000        0.000000    127.8086
  1070    0.006767    0.000000    0.000000        0.000000    128.9112
  1080    0.006347    0.000000    0.000000        0.000000    130.0424
  1090    0.006182    0.000000    0.000000        0.000000    131.0154
  1100    0.006120    0.000000    0.000000        0.000000    132.1166
  1110    0.006082    0.000000    0.000000        0.000000    133.2255
  1120    0.006055    0.000000    0.000000        0.000000    134.4436
  1130    0.006026    0.000000    0.000000        0.000000    135.5054
  1140    0.006005    0.000000    0.000000        0.000000    136.5844
  1150    0.005977    0.000000    0.000000        0.000000    137.6790
  1160    0.005945    0.000000    0.000000        0.000000    138.7524
  1170    0.005916    0.000000    0.000000        0.000000    139.9191
  1180    0.005903    0.000000    0.000000        0.000000    140.9422
  1190    0.005888    0.000000    0.000000        0.000000    142.1034
  1200    0.005884    0.000000    0.000000        0.000000    143.1978
  1210    0.005861    0.000000    0.000000        0.000000    144.2163
  1220    0.005848    0.000000    0.000000        0.000000    145.3602
  1230    0.005833    0.000000    0.000000        0.000000    146.5134
  1240    0.005822    0.000000    0.000000        0.000000    147.6619
  1250    0.005797    0.000000    0.000000        0.000000    148.6728
  1260    0.005747    0.000000    0.000000        0.000000    149.7597
  1270    0.005680    0.000000    0.000000        0.000000    150.9746
  1280    0.005596    0.000000    0.000000        0.000000    152.0758
  1290    0.005516    0.000000    0.000000        0.000000    153.1842
  1300    0.005430    0.000000    0.000000        0.000000    154.2975
  1310    0.005352    0.000000    0.000000        0.000000    155.3178
  1320    0.005270    0.000000    0.000000        0.000000    156.4083
  1330    0.005196    0.000000    0.000000        0.000000    157.4617
  1340    0.005130    0.000000    0.000000        0.000000    158.5211
  1350    0.005072    0.000000    0.000000        0.000000    159.6049
  1360    0.005020    0.000000    0.000000        0.000000    160.6457
  1370    0.004986    0.000000    0.000000        0.000000    161.7806
  1380    0.004977    0.000000    0.000000        0.000000    162.8517
  1390    0.005000    0.000000    0.000000        0.000000    163.8412
  1400    0.005034    0.000000    0.000000        0.000000    164.9035
  1410    0.005074    0.000000    0.000000        0.000000    165.9525
  1420    0.005118    0.000000    0.000000        0.000000    167.0268
  1430    0.005144    0.000000    0.000000        0.000000    168.0988
  1440    0.005149    0.000000    0.000000        0.000000    169.1542
  1450    0.005125    0.000000    0.000000        0.000000    170.1755
  1460    0.005090    0.000000    0.000000        0.000000    171.2427
  1470    0.005037    0.000000    0.000000        0.000000    172.2710
  1480    0.004975    0.000000    0.000000        0.000000    173.2935
  1490    0.004915    0.000000    0.000000        0.000000    174.3439
  1500    0.004857    0.000000    0.000000        0.000000    175.3395
  1510    0.004811    0.000000    0.000000        0.000000    176.4163
  1520    0.004770    0.000000    0.000000        0.000000    177.5318
  1530    0.004737    0.000000    0.000000        0.000000    178.6310
  1540    0.004696    0.000000    0.000000        0.000000    179.7153
  1550    0.004653    0.000000    0.000000        0.000000    180.7954
  1560    0.004607    0.000000    0.000000        0.000000    181.9414
  1570    0.004566    0.000000    0.000000        0.000000    183.0092
  1580    0.004533    0.000000    0.000000        0.000000    184.0690
  1590    0.004487    0.000000    0.000000        0.000000    185.1103
  1600    0.004438    0.000000    0.000000        0.000000    186.2055
  1610    0.004388    0.000000    0.000000        0.000000    187.2481
  1620    0.004350    0.000000    0.000000        0.000000    188.2482
  1630    0.004316    0.000000    0.000000        0.000000    189.2863
  1640    0.004276    0.000000    0.000000        0.000000    190.3170
  1650    0.004226    0.000000    0.000000        0.000000    191.3764
  1660    0.004175    0.000000    0.000000        0.000000    192.4602
  1670    0.004132    0.000000    0.000000        0.000000    193.5358
  1680    0.004097    0.000000    0.000000        0.000000    194.6360
  1690    0.004070    0.000000    0.000000        0.000000    195.6605
  1700    0.004060    0.000000    0.000000        0.000000    196.6811
  1710    0.004064    0.000000    0.000000        0.000000    197.7019
  1720    0.004097    0.000000    0.000000        0.000000    198.7601
