 epoch      loss_v        runtime(s)
     0        1.533666      9.8249
    10        4.373120     10.5323
    20        2.448417     11.2178
    30        1.660505     11.9656
    40        1.411832     12.7677
    50        1.195863     13.5146
    60        1.091361     14.2937
    70        1.007339     15.1338
    80        0.933226     15.8418
    90        0.861617     16.5796
   100        0.785894     17.2761
   110        0.707134     17.9751
   120        0.627071     18.6670
   130        0.547886     19.4100
   140        0.472097     20.1005
   150        0.402111     20.8950
   160        0.339099     21.6555
   170        0.288901     22.4158
   180        0.329276     23.1280
   190        0.302889     23.8394
   200        0.221849     24.6123
   210        0.159254     25.4183
   220        0.139955     26.1074
   230        0.118034     26.9272
   240        0.780460     27.6935
   250        0.106961     28.4383
   260        0.095849     29.1961
   270        0.081961     29.9180
   280        0.070241     30.6653
   290        0.065405     31.4044
   300        0.057628     32.2315
   310        0.126011     32.9138
   320        0.091644     33.6258
   330        0.046859     34.3796
   340        0.039319     35.1156
   350        0.037683     35.9444
   360        0.344257     36.7623
   370        0.463629     37.5070
   380        0.056383     38.2955
   390        0.084438     38.9882
   400        0.042760     39.7147
   410        0.034104     40.4181
   420        0.030396     41.1743
   430        0.027584     41.9931
   440        0.024702     42.7261
   450        0.022624     43.4732
   460        0.020819     44.2489
   470        0.019132     45.0443
   480        0.017764     45.8405
   490        0.618058     46.6055
   500        0.226751     47.5055
   510        0.059460     48.4639
   520        0.027280     49.3215
   530        0.022565     50.0857
   540        0.019717     50.8837
   550        0.016732     51.7558
   560        0.015479     52.5087
   570        0.014458     53.2467
   580        0.013553     53.9776
   590        0.012681     54.7666
   600        0.011912     55.5807
   610        0.011202     56.3618
   620        0.010541     57.1192
   630        0.009948     57.8358
   640        0.010354     58.6225
   650        1.772300     59.3353
   660        0.236206     60.0636
   670        0.102424     60.7906
   680        0.042811     61.5970
   690        0.021972     62.3611
   700        0.017125     63.1380
   710        0.013258     63.9524
   720        0.012572     64.7141
   730        0.011633     65.4449
   740        0.010847     66.1824
   750        0.010261     66.8906
   760        0.009711     67.6245
   770        0.009198     68.3984
   780        0.008709     69.1425
   790        0.008267     69.8458
   800        0.007855     70.5694
   810        0.007450     71.3489
   820        0.007083     72.1396
   830        0.006741     72.9342
   840        0.006407     73.6430
   850        0.006174     74.4599
   860        0.121633     75.2283
   870        0.363912     76.1150
   880        0.116395     76.8971
   890        0.048202     77.6256
   900        0.016676     78.3775
   910        0.009724     79.1709
   920        0.007926     79.8894
   930        0.007524     80.6025
   940        0.007069     81.4094
   950        0.006729     82.1546
   960        0.006433     83.0630
   970        0.006151     83.7839
   980        0.005881     84.5892
   990        0.005645     85.3706
  1000        0.005403     86.1197
  1010        0.005340     86.8442
  1020        0.005294     87.6215
  1030        0.005252     88.3394
  1040        0.005206     89.1340
  1050        0.005168     89.8421
  1060        0.005126     90.5500
  1070        0.005089     91.2565
  1080        0.005045     92.0023
  1090        0.005004     92.8109
  1100        0.004954     93.5770
  1110        0.004927     94.4368
  1120        0.004884     95.2156
  1130        0.004839     95.9212
  1140        0.004797     96.6353
  1150        0.004752     97.3348
  1160        0.004716     98.0680
  1170        0.004675     98.7946
  1180        0.004634     99.4955
  1190        0.004594    100.2684
  1200        0.004556    101.0903
  1210        0.004518    101.7990
  1220        0.004476    102.5872
  1230        0.004438    103.3607
  1240        0.004401    104.1404
  1250        0.004363    104.8598
  1260        0.004322    105.6136
  1270        0.004282    106.3431
  1280        0.004256    107.0342
  1290        0.004210    107.7866
  1300        0.004175    108.5113
  1310        0.004144    109.3047
  1320        0.004103    110.1229
  1330        0.004062    110.8721
  1340        0.004030    111.6337
  1350        0.004000    112.4708
  1360        0.003963    113.2168
  1370        0.003921    113.9950
  1380        0.003885    114.7718
  1390        0.003854    115.6480
  1400        0.003811    116.3684
  1410        0.003773    117.0989
  1420        0.003739    117.9600
  1430        0.003715    118.7332
  1440        0.003669    119.4753
  1450        0.003639    120.2362
  1460        0.003600    120.9573
  1470        0.003567    121.7468
  1480        0.003535    122.5488
  1490        0.003503    123.3177
  1500        0.003469    124.1177
  1510        0.003430    124.8557
  1520        0.003397    125.6010
  1530        0.003367    126.4152
  1540        0.003329    127.1422
  1550        0.003300    127.8621
  1560        0.003266    128.6799
  1570        0.003230    129.4509
  1580        0.003188    130.2276
  1590        0.003168    130.9784
  1600        0.003131    131.8625
  1610        0.003099    132.5749
  1620        0.003063    133.3999
  1630        0.003027    134.1602
  1640        0.002998    134.9100
  1650        0.002954    135.6930
  1660        0.002921    136.4345
  1670        0.002885    137.1555
  1680        0.002854    137.8955
  1690        0.002813    138.6375
  1700        0.002772    139.4096
  1710        0.002742    140.1451
  1720        0.002706    140.9253
  1730        0.002670    141.6399
  1740        0.002631    142.3595
  1750        0.002598    143.0762
  1760        0.002552    143.8020
  1770        0.002519    144.5096
  1780        0.002479    145.3730
  1790        0.002435    146.1448
  1800        0.002393    146.8616
  1810        0.002355    147.7544
  1820        0.002309    148.4629
  1830        0.002269    149.2322
  1840        0.002226    150.0035
  1850        0.002181    150.7642
  1860        0.002141    151.5845
  1870        0.002092    152.3582
  1880        0.002049    153.1053
  1890        0.002007    153.8044
  1900        0.001961    154.5988
  1910        0.001906    155.3831
  1920        0.001865    156.1195
  1930        0.001817    156.9013
  1940        0.001772    157.6249
  1950        0.001721    158.4496
  1960        0.001675    159.3149
  1970        0.001624    160.1454
  1980        0.001579    160.8776
  1990        0.001530    161.6046
  2000        0.001486    162.3435
  2010        0.001441    163.0739
  2020        0.001419    163.7967
  2030        0.001398    164.5571
  2040        0.001367    165.3303
  2050        0.001348    166.0566
  2060        0.001321    166.7785
  2070        0.001296    167.4774
  2080        0.001272    168.2856
  2090        0.001242    169.0223
  2100        0.001218    169.7697
  2110        0.001186    170.4537
  2120        0.001161    171.2787
  2130        0.001141    172.0553
  2140        0.001111    172.7543
